,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.mae_std,metrics.rmse_mean,metrics.mae_mean,metrics.rmse_std,tags.mlflow.user,tags.mlflow.source.name,tags.modelo,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.source.git.commit,tempo
15,56f5c702355545bf9b9102606af71487,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/56f5c702355545bf9b9102606af71487/artifacts,2023-04-14 18:37:51.627000+00:00,2023-04-14 18:38:05.056000+00:00,-0.0037906532787777706,0.28839874949614985,0.24876093528392743,-0.003290449496993264,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Estocástico_SC_RS_OHE_IF,LOCAL,exultant-loon-786,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:13.429000
25,fcdd70b3587a404bbcaa358c0835d1e4,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/fcdd70b3587a404bbcaa358c0835d1e4/artifacts,2023-04-14 18:33:59.305000+00:00,2023-04-14 18:34:35.695000+00:00,-0.003875475539768319,0.28847675326347727,0.24881745659148863,-0.0034055939002587193,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Estocástico_SC_OHE_IF,LOCAL,entertaining-cod-245,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:36.390000
45,8cfa4b7b1cfc46d88024b4c38bb90519,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/8cfa4b7b1cfc46d88024b4c38bb90519/artifacts,2023-04-14 18:30:55.710000+00:00,2023-04-14 18:30:56.562000+00:00,-0.003881932608849828,0.28849537443140794,0.24883047715927162,-0.0033977619017568485,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Estocástico_SC_OHE,LOCAL,bemused-goat-235,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:00.852000
30,0abbf2c9029d43f8819f6c27c4e85a98,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/0abbf2c9029d43f8819f6c27c4e85a98/artifacts,2023-04-14 18:31:35.228000+00:00,2023-04-14 18:31:38.512000+00:00,-0.004649701333907618,0.290558997010799,0.25003900169580556,-0.004249118298581007,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Estocástico_SC_RS_OHE_OE,LOCAL,honorable-ox-935,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:03.284000
10,a3ed3615e6944408a94525c0c87896ef,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/a3ed3615e6944408a94525c0c87896ef/artifacts,2023-04-14 18:38:54.924000+00:00,2023-04-14 18:39:07.844000+00:00,-0.004649701333907618,0.290558997010799,0.25003900169580556,-0.004249118298581007,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Estocástico_SC_RS_OHE_OE_IF,LOCAL,charming-gnu-170,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:12.920000
40,cbbc40ea968e405ea9d5b958add4fd2c,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/cbbc40ea968e405ea9d5b958add4fd2c/artifacts,2023-04-14 18:31:05.364000+00:00,2023-04-14 18:31:08.194000+00:00,-0.004752785711095012,0.2906976786653391,0.2501216667650535,-0.004315795425793535,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Estocástico_SC_OHE_OE,LOCAL,delicate-fowl-61,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:02.830000
20,2f30c06db06c42a8ad96f5d1afc233b3,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/2f30c06db06c42a8ad96f5d1afc233b3/artifacts,2023-04-14 18:36:31.434000+00:00,2023-04-14 18:36:44.549000+00:00,-0.004752785711095012,0.2906976786653391,0.2501216667650535,-0.004315795425793535,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Estocástico_SC_OHE_OE_IF,LOCAL,beautiful-snipe-387,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:13.115000
2,5b7f2b3cce504073b841733133572138,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/5b7f2b3cce504073b841733133572138/artifacts,2023-04-14 18:47:04.851000+00:00,2023-04-14 18:50:42.292000+00:00,-0.004585305615944149,0.2936152939304962,0.25204053276444716,-0.004655470946402328,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,RDF_reg_CtbEnc,LOCAL,treasured-moose-549,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:03:37.441000
7,29357a9ec181420097acbe6e6623e7ed,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/29357a9ec181420097acbe6e6623e7ed/artifacts,2023-04-14 18:39:14.625000+00:00,2023-04-14 18:43:48.431000+00:00,-0.004585305615944149,0.2936152939304962,0.25204053276444716,-0.004655470946402328,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,RDF_reg_CtbEnc,LOCAL,bedecked-horse-32,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:04:33.806000
5,edf4775939104b568e87de5d64a7cb45,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/edf4775939104b568e87de5d64a7cb45/artifacts,2023-04-14 18:45:18.264000+00:00,2023-04-14 18:45:41.106000+00:00,-0.007615243380010904,0.30358481992036224,0.25758679898525233,-0.007833508810208252,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,XGb_reg__CtbEnc,LOCAL,upbeat-cat-2,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:22.842000
0,6a07c491a66c4ace8cf96b42b64cba52,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/6a07c491a66c4ace8cf96b42b64cba52/artifacts,2023-04-14 18:51:31.337000+00:00,2023-04-14 18:52:03.034000+00:00,-0.007615243380010904,0.30358481992036224,0.25758679898525233,-0.007833508810208252,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,XGb_reg__CtbEnc,LOCAL,persistent-hawk-223,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:31.697000
9,1620f3c2f8f0402c8d8bbebcac188a7a,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/1620f3c2f8f0402c8d8bbebcac188a7a/artifacts,2023-04-14 18:39:08.024000+00:00,2023-04-14 18:39:12.129000+00:00,-0.013521352937333505,0.40780549661482307,0.33262841473314586,-0.016705615417188693,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,DTree_reg_CtbEnc,LOCAL,marvelous-squid-595,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:04.105000
4,b654b49b218f4ad682e97a4a943dcb94,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/b654b49b218f4ad682e97a4a943dcb94/artifacts,2023-04-14 18:45:41.589000+00:00,2023-04-14 18:46:24.924000+00:00,-0.013521352937333505,0.40780549661482307,0.33262841473314586,-0.016705615417188693,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,DTree_reg_CtbEnc,LOCAL,crawling-bat-289,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:43.335000
8,b1d648bd38a94bb089526cd608f450d7,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/b1d648bd38a94bb089526cd608f450d7/artifacts,2023-04-14 18:39:12.140000+00:00,2023-04-14 18:39:14.618000+00:00,-0.010634137156879447,0.41302369949013107,0.3362282309778676,-0.01104676689272993,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,XTree_reg_CtbEnc,LOCAL,glamorous-wolf-723,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:02.478000
3,ebabdea83df34823889ca68689d425de,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/ebabdea83df34823889ca68689d425de/artifacts,2023-04-14 18:46:24.956000+00:00,2023-04-14 18:47:04.817000+00:00,-0.010634137156879447,0.41302369949013107,0.3362282309778676,-0.01104676689272993,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,XTree_reg_CtbEnc,LOCAL,amusing-worm-609,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:39.861000
